Aal	Aale
Lügendetektor	Lügendetektoren
Lügendetektortest	Lügendetektortests
Lümmel	Lümmel
Macher	Macher
Macho	Machos
Machtanspruch	Machtansprüche
Machterhalt	—
Machthaber	Machthaber
Machtkampf	Machtkämpfe
Machtmissbrauch	Machtmissbräuche
Machtwechsel	Machtwechsel
Madison	Madisons
Maestro	Maestros	Maestri
Mafioso	Mafiosi
Magen	Mägen
Magier	Magier
Magister	Magister
Magnet	Magnete	Magneten
Mahl	Mahle
Mahner	Mahner
Mahr	Mahre
Mai	Mais
Maibaum	Maibäume
Main	—
Mainstream	—
Mais	Maise
Makel	Makel
Makler	Makler
Maler	Maler
Malteser	Malteser
Malwettbewerb	Malwettbewerbe
Manager	Manager
Mandant	Mandanten
Mandatar	Mandatare
Mangold	Mangolde
Mann	Männer
Manndecker	Manndecker
Mannequin	Mannequins
Mannschaftskollege	Mannschaftskollegen
Mantel	Mäntel
Marathon	Marathons
Markenartikel	Markenartikel
Markenname	Markennamen
Marketingleiter	Marketingleiter
Markgraf	Markgrafen
Markt	Märkte
Marktanteil	Marktanteile
Marktbeobachter	Marktbeobachter
Marktforscher	Marktforscher
Marktplatz	Marktplätze
Marktpreis	Marktpreise
Marktstand	Marktstände
Marktteilnehmer	Marktteilnehmer
Marktwert	Marktwerte
Marmor	Marmore
Marokkaner	Marokkaner
Marquis	Marquis
Marsch	Märsche
Marschall	Marschälle
Marxismus	—
Marxist	Marxisten
Maschinenbau	—
Maschinenbauer	Maschinenbauer
Maschinenraum	Maschinenräume
Maskenball	Maskenbälle
Maskottchen	Maskottchen
Massenmord	Massenmorde
Massenmörder	Massenmörder
Massenprotest	Massenproteste
Massentourismus	—
Masseur	Masseure
Masseverwalter	Masseverwalter
Mast	Masten
Master	Master
Masterplan	Masterpläne
Match	Matchs
Matchball	Matchbälle
Matchwinner	Matchwinner
Materialismus	—
Mathematiker	Mathematiker
Matrose	Matrosen
Matsch	—
Maturant	Maturanten
Matz	Matze	Matz
Mauerbau	—
Mauerfall	—
Maulkorb	Maulkörbe
Maulwurf	Maulwürfe
Maure	Mauren
Maurer	Maurer
Mausklick	Mausklicks
Mautner	Mautner
Mechaniker	Mechaniker
Mechanismus	Mechanismen
Medaillengewinner	Medaillengewinner
Medienbericht	Medienberichte
Medienkonzern	Medienkonzerne
Medienrummel	—
Medienunternehmer	Medienunternehmer
Medienvertreter	Medienvertreter
Mediziner	Mediziner
Medizinstudent	Medizinstudenten
Meeresboden	Meeresböden
Meeresgrund	Meeresgründe
Meeresspiegel	Meeresspiegel
Mehraufwand	Mehraufwände
Mehrkampf	Mehrkämpfe
Mehrwert	—
Meier	Meier
Meilenstein	Meilensteine
Meineid	Meineide
Meinungsaustausch	Meinungsaustausche
Meinungsforscher	Meinungsforscher
Meister	Meister
Meistersinger	Meistersinger
Meistertitel	Meistertitel
Mensch	Menschen
Menschenhandel	—
Menschenrechtler	Menschenrechtler
Menschenverstand	—
Mephisto	Mephistos
Messebesucher	Messebesucher
Messer	Messer
Messerstich	Messerstiche
Messias	Messiasse
Messwert	Messwerte
Met	—
Metaller	Metaller
Meteorit	Meteoriten	Meteorite
Meteorologe	Meteorologen
Meter	Meter
Metzger	Metzger
Metzler	Metzler
Mexikaner	Mexikaner
Mieter	Mieter
Mieterbund	Mieterbünde
Mieterverein	Mietervereine
Mietpreis	Mietpreise
Mietspiegel	Mietspiegel
Mietvertrag	Mietverträge
Mietwagen	Mietwagen
Mietzins	Mietzinse
Mika	Mikas
Mikrochip	Mikrochips
Mikrokosmos	—
Mikroorganismus	Mikroorganismen
Mikroprozessor	Mikroprozessoren
Militarismus	Militarismen
Milliardenbetrag	Milliardenbeträge
Milliardär	Milliardäre
Milliliter	Milliliter
Millimeter	Millimeter
Millionenbetrag	Millionenbeträge
Millionenschaden	Millionenschäden
Mindestlohn	Mindestlöhne
Mindeststandard	Mindeststandards
Mineralstoff	Mineralstoffe
Minister	Minister
Ministerialrat	Ministerialräte
Ministeriumssprecher	Ministeriumssprecher
Ministerposten	Ministerposten
Ministerrat	Ministerräte
Ministrant	Ministranten
Minivan	Minivans
Mischkonzern	Mischkonzerne
Mischling	Mischlinge
Missbrauch	Missbräuche
Misserfolg	Misserfolge
Missionar	Missionare
Misskredit	—
Missstand	Missstände
Misstrauensantrag	Misstrauensanträge
Mist	Misten
Mitarbeiter	Mitarbeiter
Mitbewerber	Mitbewerber
Mitbewohner	Mitbewohner
Mitbürger	Mitbürger
Mitfahrer	Mitfahrer
Mitgliedsbeitrag	Mitgliedsbeiträge
Mitgliedsstaat	Mitgliedsstaaten
Mitgliedstaat	Mitgliedstaaten
Mitherausgeber	Mitherausgeber
Mitmensch	Mitmenschen
Mitspieler	Mitspieler
Mitstreiter	Mitstreiter
Mittag	Mittage
Mittagstisch	Mittagstische
Mittelbau	Mittelbauten	Mittelbaue
Mittelbetrieb	Mittelbetriebe
Mittelfeldspieler	Mittelfeldspieler
Mittelmeerraum	—
Mittelpunkt	Mittelpunkte
Mittelsmann	Mittelsmänner
Mittelstand	—
Mittelteil	Mittelteile
Mittelweg	Mittelwege
Mittelwert	Mittelwerte
Mittler	Mittler
Mittwoch	Mittwoche
Mittwochabend	Mittwochabende
Mittwochmorgen	Mittwochmorgen
Mittwochnachmittag	Mittwochnachmittage
Mix	Mixe
Mixer	Mixer
Moabiter	Moabiter
Mob	Mobs
Mobilfunk	—
Mobilfunkanbieter	Mobilfunkanbieter
Mobilfunkbetreiber	Mobilfunkbetreiber
Mode	Moden
Modellversuch	Modellversuche
Modem	Modems
Modemacher	Modemacher
Moder	—
Moderator	Moderatoren
Modernisierer	Modernisierer
Modus	Modi
Mohn	Mohne
Mohr	Mohren
Molotowcocktail	Molotowcocktails
Monarch	Monarchen
Monat	Monate
Monatsbericht	Monatsberichte
Monatslohn	Monatslöhne
Mond	Monde
Monitor	Monitore	Monitoren
Monolog	Monologe
Monopolist	Monopolisten
Monsieur	Messieurs
Montag	Montage
Montagabend	Montagabende
Montagmorgen	Montagmorgen
Montagnachmittag	Montagnachmittage
Montblanc	—
Monteur	Monteure
Moralist	Moralisten
Mord	Morde
Mordanschlag	Mordanschläge
Mordfall	Mordfälle
Mordprozess	Mordprozesse
Mordverdacht	—
Mordversuch	Mordversuche
Morgen	Morgen
Morgenstern	Morgensterne
Moskito	Moskitos
Moslem	Moslems
Most	Moste
Motor	Motoren	Motore
Motorradfahrer	Motorradfahrer
Motorroller	Motorroller
Motorschaden	Motorschäden
Motorsport	—
Mount	Mounts
Mountainbiker	Mountainbiker
Mucks	Muckse
Mullah	Mullahs
Multi	Multis
Mundgeruch	Mundgerüche
Mundwinkel	Mundwinkel
Museumsdirektor	Museumsdirektoren
Musikant	Musikanten
Musiker	Musiker
Musikfreund	Musikfreunde
Musiklehrer	Musiklehrer
Musiksender	Musiksender
Musikstil	Musikstile
Musikunterricht	—
Musikverein	Musikvereine
Muskel	Muskeln
Muskelfaserriss	Muskelfaserrisse
Musketier	Musketiere
Muslim	Muslime
Musterprozess	Musterprozesse
Mut	—
Mutterkonzern	Mutterkonzerne
Mutterleib	—
Muttertag	Muttertage
Mythos	Mythen
Mädchenname	Mädchennamen
Märtyrer	Märtyrer
Möchtegern	Möchtegerne
Mönch	Mönche
Mörder	Mörder
Müll	—
Nabel	Nabel
Nachahmer	Nachahmer
Nachbar	Nachbarn
Nachbarort	Nachbarorte
Nachbarstaat	Nachbarstaaten
Nachbau	Nachbauten
Nachfahre	Nachfahren
Nachfolger	Nachfolger
Nachfolgestaat	Nachfolgestaaten
Nachholbedarf	Nachholbedarfe
Nachkomme	Nachkommen
Nachlass	Nachlasse
Nachmittag	Nachmittage
Nachname	Nachnamen
Nachrichtendienst	Nachrichtendienste
Nachrichtensender	Nachrichtensender
Nachruf	Nachrufe
Nachsatz	Nachsätze
Nachschlag	Nachschläge
Nachschub	Nachschübe
Nachteil	Nachteile
Nachthimmel	Nachthimmel
Nachtisch	Nachtische
Nachtrag	Nachträge
Nachtragshaushalt	Nachtragshaushalte
Nachweis	Nachweise
Nachwuchs	—
Nachwuchsspieler	Nachwuchsspieler
Nacken	Nacken
Nagel	Nägel
Nager	Nager
Nahverkehr	Nahverkehre
Nahversorger	Nahversorger
Name	Namen
Namensgeber	Namensgeber
Namenstag	Namenstage
Namensvetter	Namensvettern
Narr	Narren
Nationalcoach	Nationalcoachs	Nationalcoaches
Nationalfeiertag	Nationalfeiertage
Nationalheld	Nationalhelden
Nationalismus	Nationalismen
Nationalist	Nationalisten
Nationalpark	Nationalparks	Nationalparke	Nationalpärke
Nationalrat	Nationalräte
Nationalsozialismus	—
Nationalsozialist	Nationalsozialisten
Nationalspieler	Nationalspieler
Nationalstaat	Nationalstaaten
Nationaltrainer	Nationaltrainer
Naturfreund	Naturfreunde
Naturpark	Naturparks	Naturparke	Naturpärke
Naturschutz	—
Naturschutzbund	Naturschutzbünde
Naturwissenschaftler	Naturwissenschaftler
Navigator	Navigatoren
Nazi	Nazis
Neandertaler	Neandertaler
Nebel	Nebel
Nebeneffekt	Nebeneffekte
Nebenfluss	Nebenflüsse
Nebenjob	Nebenjobs
Nebenraum	Nebenräume
Neckar	—
Neffe	Neffen
Neger	Neger
Nehmer	Nehmer
Neid	Neide
Neider	Neider
Nenner	Nenner
Nennwert	Nennwerte
Neoliberalismus	—
Neonazi	Neonazis
Nerv	Nerven
Nervenkitzel	Nervenkitzel
Nervenzusammenbruch	Nervenzusammenbrüche
Nettogewinn	Nettogewinne
Nettolohn	Nettolöhne
Nettozahler	Nettozahler
Netzbetreiber	Netzbetreiber
Neuanfang	Neuanfänge
Neuaufbau	Neuaufbauten
Neubau	Neubauten
Neubauer	Neubauern
Neubeginn	Neubeginne
Neueinsteiger	Neueinsteiger
Neujahrsempfang	Neujahrsempfänge
Neujahrstag	Neujahrstage
Neuling	Neulinge
Neuner	Neuner
Neurologe	Neurologen
Neuschnee	—
Neustart	Neustarts
Neuwagen	Neuwagen	Neuwägen
Neuzugang	Neuzugänge
Newcomer	Newcomer
Newsletter	Newsletters	Newsletter
Newtonmeter	Newtonmeter
Nichtraucher	Nichtraucher
Niedergang	Niedergänge
Niederrhein	—
Niederschlag	Niederschläge
Nieselregen	Nieselregen
Nigerianer	Nigerianer
Nil	—
Nimbus	Nimbusse
Nippel	Nippel
Nix	Nixe
Nobelpreis	Nobelpreise
Nomade	Nomaden
Nonsens	—
Nord	Norde
Norden	—
Nordkoreaner	Nordkoreaner
Nordosten	—
Nordpol	Nordpole
Nordwesten	—
Normalfall	Normalfälle
Normalverbraucher	Normalverbraucher
Nostalgiker	Nostalgiker
Notar	Notare
Notarzt	Notärzte
Notarzthubschrauber	Notarzthubschrauber
Notarztwagen	Notarztwagen	Notarztwägen
Notausgang	Notausgänge
Notdienst	Notdienste
Notenbankchef	Notenbankchefs
Notfall	Notfälle
Notruf	Notrufe
Notstand	Notstände
November	November
Nullpunkt	Nullpunkte
Nulltarif	Nulltarife
Numerus	Numeri
Nuntius	Nuntien	Nuntii
Nussbaum	Nussbäume
Nutzen	Nutzen
Nutzer	Nutzer
Ob	—
Ober	Ober
Oberarm	Oberarme
Oberarzt	Oberärzte
Oberbefehlshaber	Oberbefehlshaber
Oberhirte	Oberhirten
Oberligist	Oberligisten
Oberrhein	—
Oberschenkel	Oberschenkel
Oberst	Oberste	Obersten
Oberstaatsanwalt	Oberstaatsanwälte
Oberstleutnant	Oberstleutnants
Oberteil	Oberteile
Obi	Obis
Obmann	Obmänner	Obleute
Obolus	Obolus	Obolusse
Obstbaum	Obstbäume
Ochs	Ochsen
Ochse	Ochsen
Odenwald	—
Ofen	Öfen
Offenbarungseid	Offenbarungseide
Offizier	Offiziere
Ohrring	Ohrringe
Ohrwurm	Ohrwürmer
Oktober	Oktober
Oldtimer	Oldtimer
Olymp	—
Olympiapark	—
Olympiasieg	Olympiasiege
Olympiasieger	Olympiasieger
Oman	—
Ombudsmann	Ombudsmänner	Ombudsleute
Omnibus	Omnibusse
Opa	Opas
Operationssaal	Operationssäle
Opernball	Opernbälle
Opportunismus	—
Oppositionspolitiker	Oppositionspolitiker
Optiker	Optiker
Optimismus	—
Optimist	Optimisten
Orangensaft	Orangensäfte
Orbit	Orbits
Orchestergraben	Orchestergräben
Orden	Orden	Örden
Ordinarius	Ordinarien
Ordner	Ordner
Organisator	Organisatoren
Organismus	Organismen
Organist	Organisten
Orgasmus	Orgasmen
Orient	—
Originaltitel	Originaltitel
Orkan	Orkane
Orlean	—
Ort	Orte
Ortsbeirat	Ortsbeiräte
Ortschef	Ortschefs
Ortseingang	Ortseingänge
Ortskern	Ortskerne
Ortsname	Ortsnamen
Ortsrand	Ortsränder
Ortsteil	Ortsteile
Ortstermin	Ortstermine
Ortsverband	Ortsverbände
Ortsverein	Ortsvereine
Ortsvorsteher	Ortsvorsteher
Oscar	Oscars
Ostblock	—
Osten	—
Osterhase	Osterhasen
Ostermontag	Ostermontage
Ostersonntag	Ostersonntage
Ostler	Ostler
Ostschweizer	Ostschweizer
Oststaat	Oststaaten
Ostteil	Ostteile
Output	Outputs
Overall	Overalls
Ozean	Ozeane
Ozon	—
Ozonwert	Ozonwerte
Pachtvertrag	Pachtverträge
Page	Pagen
Pakt	Pakte
Palast	Paläste
Palazzo	Palazzi
Palmengarten	Palmengärten
Panama	Panamas
Panda	Pandas
Panther	Panther
Pantoffel	Pantoffeln
Panzer	Panzer
Papa	Papas
Papagei	Papageis
Papi	Papis
Papierkorb	Papierkörbe
Papst	Päpste
Papstbesuch	Papstbesuche
Paradigmenwechsel	Paradigmenwechsel
Paragleiter	Paragleiter
Paragraf	Paragrafen
Paragraph	Paragraphen
Parameter	Parameter
Parasit	Parasiten
Parcours	Parcours
Pardon	—
Pariser	Pariser
Park	Parks
Parker	Parker
Parkplatz	Parkplätze
Parlamentarier	Parlamentarier
Parlamentarismus	—
Parlamentssitz	Parlamentssitze
Part	Parts
Parteiausschluss	Parteiausschlüsse
Parteichef	Parteichefs
Parteifreund	Parteifreunde
Parteigenosse	Parteigenossen
Parteikollege	Parteikollegen
Parteiobmann	Parteiobmänner	Parteiobleute
Parteitag	Parteitage
Parteivorsitz	Parteivorsitze
Parteivorstand	Parteivorstände
Partner	Partner
Pas	Pas
Passagier	Passagiere
Passant	Passanten
Passat	Passate
Passer	Passer
Passus	Passus
Pastor	Pastoren	Pastore	Pastöre
Pater	Patres
Patient	Patienten
Patriarch	Patriarchen
Patriotismus	Patriotismen
Patron	Patrone
Patzer	Patzer
Paukenschlag	Paukenschläge
Pavillon	Pavillons
Pazifik	—
Pazifismus	—
Pazifist	Pazifisten
Pechstein	—
Pechvogel	Pechvögel
Pegasus	—
Pegel	Pegel
Pegelstand	Pegelstände
Peiniger	Peiniger
Pelz	Pelze
Penalty	Penaltys
Pendler	Pendler
Penis	Penisse	Penes
Penner	Penner
Penny	Pennys	Pence
Pensionist	Pensionisten
Pensionsanspruch	Pensionsansprüche
Perser	Perser
Personalabbau	—
Personalaufwand	Personalaufwände
Personalausweis	Personalausweise
Personalbestand	Personalbestände
Personalchef	Personalchefs
Personalmangel	Personalmängel
Personalrat	Personalräte
Personenkreis	Personenkreise
Personennahverkehr	Personennahverkehre
Personenschaden	Personenschäden
Personenverkehr	—
Personenwagen	Personenwagen	Personenwägen
Personenzug	Personenzüge
Peso	Peso	Pesos
Pessimismus	—
Pessimist	Pessimisten
Petitionsausschuss	Petitionsausschüsse
Pfad	Pfade
Pfadfinder	Pfadfinder
Pfahl	Pfähle
Pfandbrief	Pfandbriefe
Pfarrer	Pfarrer
Pfarrgemeinderat	Pfarrgemeinderäte
Pfarrsaal	Pfarrsäle
Pfau	Pfauen	Pfaue
Pfeffer	Pfeffer
Pfefferspray	Pfeffersprays
Pfeil	Pfeile
Pfeiler	Pfeiler
Pfennig	Pfennige
Pferdesport	—
Pfiff	Pfiffe
Pfingstmontag	Pfingstmontage
Pfingstsonntag	Pfingstsonntage
Pfirsich	Pfirsiche
Pflanzenschutz	—
Pflasterstein	Pflastersteine
Pflegedienst	Pflegedienste
Pflegefall	Pflegefälle
Pfleger	Pfleger
Pflug	Pflüge
Pfosten	Pfosten
Pförtner	Pförtner
Pharmakonzern	Pharmakonzerne
Philharmoniker	Philharmoniker
Philologe	Philologen
Philosoph	Philosophen
Physiker	Physiker
Physiotherapeut	Physiotherapeuten
Pianist	Pianisten
Pichler	Pichlers	Pichler
Pickel	Pickel
Pieper	Pieper
Pier	Piere
Pietsch	Pietsche
Pilger	Pilger
Piller	Piller
Pilot	Piloten
Pilotversuch	Pilotversuche
Pilz	Pilze
Pin	Pins
Pinguin	Pinguine
Pinsel	Pinsel
Pinselstrich	Pinselstriche
Pionier	Pioniere
Pirat	Piraten
Pitbull	Pitbulls
Plan	Pläne
Planer	Planer
Planet	Planeten
Planfeststellungsbeschluss	Planfeststellungsbeschlüsse
Plastiksack	Plastiksäcke
Plattenbau	Plattenbauten
Plattenspieler	Plattenspieler
Platz	Plätze
Platzhirsch	Platzhirsche
Platzmangel	Platzmängel
Platzverweis	Platzverweise
Plausch	Plausche	Pläusche
Playboy	Playboys
Player	Player
Plenarsaal	Plenarsäle
Plot	Plots
Pluralismus	—
Pluspunkt	Pluspunkte
Pneu	Pneus
Podest	Podeste
Podestplatz	Podestplätze
Poet	Poeten
Pogrom	Pogrome
Pokal	Pokale
Pokalsieger	Pokalsieger
Poker	—
Pole	Polen
Politiker	Politiker
Politikwissenschaftler	Politikwissenschaftler
Politologe	Politologen
Polizeibericht	Polizeiberichte
Polizeichef	Polizeichefs
Polizeidienst	Polizeidienste
Polizeieinsatz	Polizeieinsätze
Polizeigewahrsam	—
Polizeiposten	Polizeiposten
Polizeischutz	Polizeischutze
Polizeisprecher	Polizeisprecher
Polizist	Polizisten
Pollen	Pollen
Poller	Poller
Polster	Polster
Pommer	Pommer
Pomp	—
Pony	Ponys
Pop	—
Popo	Popos
Popsong	Popsongs
Popstar	Popstars
Populismus	—
Populist	Populisten
Porno	Pornos
Port	Porte
Porter	Porter
Portier	Portiers
Portugiese	Portugiesen
Posaunenchor	Posaunenchöre
Posaunist	Posaunisten
Post	Posten
Postbote	Postboten
Posten	Posten
Poster	Poster
Postler	Postler
Pott	Pötte
Pragmatiker	Pragmatiker
Pragmatismus	—
Praktikant	Praktikanten
Praktiker	Praktiker
Pranger	Pranger
Prater	—
Prediger	Prediger
Preis	Preise
Preisanstieg	Preisanstiege
Preisdruck	Preisdruck
Preiskampf	Preiskämpfe
Preisnachlass	Preisnachlasse	Preisnachlässe
Preisrichter	Preisrichter
Preisunterschied	Preisunterschiede
Preisverfall	Preisverfälle
Preisvergleich	Preisvergleiche
Preisvorteil	Preisvorteile
Premier	Premiers
Premierminister	Premierminister
Pressebericht	Presseberichte
Pressechef	Pressechefs
Pressedienst	Pressedienste
Presserat	Presseräte
Pressesprecher	Pressesprecher
Pressewart	Pressewarte
Priester	Priester
Primar	Primare
Primarius	Primarien
Primus	Primi	Primusse
Prinz	Prinzen
Prior	Prioren
Privatanleger	Privatanleger
Privatbesitz	Privatbesitze
Privatdetektiv	Privatdetektive
Privatdozent	Privatdozenten
Privathaushalt	Privathaushalte
Privatkunde	Privatkunden
Privatmann	Privatmänner	Privatleute
Privatsender	Privatsender
Prix	Prixs
Proband	Probanden
Probebetrieb	Probebetriebe
Probelauf	Probeläufe
Problemfall	Problemfälle
Produktionsstandort	Produktionsstandorte
Produzent	Produzenten
Professional	Professionals
Professor	Professoren
Profi	Profis
Profit	Profite
Profiteur	Profiteure
Programmdirektor	Programmdirektoren
Programmierer	Programmierer
Programmpunkt	Programmpunkte
Projektentwickler	Projektentwickler
Projektleiter	Projektleiter
Projektor	Projektoren
Prokurist	Prokuristen
Prolog	Prologe
Promoter	Promoter
Propagandist	Propagandisten
Propeller	Propeller
Prophet	Propheten
Proporz	Proporze
Prospekt	Prospekte
Protagonist	Protagonisten
Protektionismus	—
Protest	Proteste
Protestant	Protestanten
Protestantismus	—
Protestmarsch	Protestmärsche
Prototyp	Prototypen
Provider	Provider
Provokateur	Provokateure
Prozentpunkt	Prozentpunkte
Prozentsatz	Prozentsätze
Prozess	Prozesse
Prozessbeginn	Prozessbeginne
Prozessor	Prozessoren
Prozesstag	Prozesstage
Präfekt	Präfekten
Präsident	Präsidenten
Psalm	Psalmen
Psychiater	Psychiater
Psychoanalytiker	Psychoanalytiker
Psychologe	Psychologen
Psychopath	Psychopathen
Psychotherapeut	Psychotherapeuten
Pub	Pubs
Publikumsliebling	Publikumslieblinge
Publikumsmagnet	Publikumsmagnete	Publikumsmagneten
Publizist	Publizisten
Puck	Pucks
Pudding	Puddinge
Pudel	Pudel
Puder	Puder
Puffer	Puffer
Pulli	Pullis
Pullover	Pullover
Pulp	Pulpen
Puls	Pulse
Puma	Pumas
Punk	Punks
Punker	Punker
Punkrock	—
Punkt	Punkte
Punktgewinn	Punktgewinne
Punktverlust	Punktverluste
Punsch	Punsche
Purist	Puristen
Putsch	Putsche
Putschist	Putschisten
Putschversuch	Putschversuche
Putz	Putze
Python	Pythons
Pöbel	—
Quadratkilometer	Quadratkilometer
Quadratmeter	Quadratmeter
Quadratmeterpreis	Quadratmeterpreise
Qualm	—
Quantensprung	Quantensprünge
Quarterback	Quarterbacks
Quast	Quaste
Quatsch	—
Quell	Quelle
Querdenker	Querdenker
Quereinsteiger	Quereinsteiger
Querschnitt	Querschnitte
Rabatt	Rabatte
Rabbi	Rabbinen	Rabbis
Rabbiner	Rabbiner
Rabe	Raben
Racheakt	Racheakte
Rachen	Rachen
Radar	Radare	Radars
Radfahrer	Radfahrer
Radiosender	Radiosender
Radius	Radien
Radprofi	Radprofis
Radsport	Radsporte
Radsportler	Radsportler
Radstand	Radstände
Radweg	Radwege
Rahmen	Rahmen
Rain	Raine
Raketenangriff	Raketenangriffe
Ramadan	Ramadane
Rambo	Rambos
Rand	Randen
Randal	Randale
Randalierer	Randalierer
Rang	Ränge
Range	Rangen
Ranger	Ranger
Rank	Ränke
Rap	Raps
Rapp	Rapps
Rappen	Rappen
Rapper	Rapper
Rapport	Rapporte
Raps	Rapse
Rasen	Rasen
Rasenplatz	Rasenplätze
Rasiermesser	Rasiermesser
Rassismus	Rassismen
Rassist	Rassisten
Rastplatz	Rastplätze
Rat	Räte
Ratgeber	Ratgeber
Rathauschef	Rathauschefs
Ratschlag	Ratschläge
Ratsherr	Ratsherren
Raub	Raube
Raubbau	—
Raubmord	Raubmorde
Raubzug	Raubzüge
Raubüberfall	Raubüberfälle
Raucher	Raucher
Raum	Räume
Rausch	Räusche
Rauscher	Rauschers	Rauscher
Rausschmiss	Rausschmisse
Rauswurf	Rauswürfe
Rave	Raves
Reaktor	Reaktoren
Realismus	Realismen
Realist	Realisten
Realo	Realos
Rebell	Rebellen
Rebstock	Rebstöcke
Rechenschaftsbericht	Rechenschaftsberichte
Rechner	Rechner
Rechnungsabschluss	Rechnungsabschlüsse
Rechnungshof	Rechnungshöfe
Rechtsanspruch	Rechtsansprüche
Rechtsanwalt	Rechtsanwälte
Rechtsausschuss	Rechtsausschüsse
Rechtsbruch	Rechtsbrüche
Rechtsexperte	Rechtsexperten
Rechtsextremismus	—
Rechtsextremist	Rechtsextremisten
Rechtspopulist	Rechtspopulisten
Rechtsradikalismus	Rechtsradikalismen
Rechtsruck	Rechtsrucke
Rechtsschutz	—
Rechtsstaat	Rechtsstaaten
Rechtsstreit	Rechtsstreite
Rechtsvertreter	Rechtsvertreter
Rechtsweg	Rechtswege
Recke	Recken
Redakteur	Redakteure
Redaktionsschluss	Redaktionsschlüsse
Redaktor	Redaktoren
Redner	Redner
Reeder	Reeder
Referatsleiter	Referatsleiter
Referee	Referees
Referendar	Referendare
Referent	Referenten
Referenzkurs	Referenzkurse
Reflex	Reflexe
Reformator	Reformatoren
Reformer	Reformer
Reformkurs	Reformkurse
Reformplan	Reformpläne
Reformprozess	Reformprozesse
Reformstaat	Reformstaaten
Reformvorschlag	Reformvorschläge
Refrain	Refrains
Regelfall	Regelfälle
Regen	Regen	Regen
Regenbogen	Regenbogen
Regenfall	Regenfälle
Regenguss	Regengüsse
Regenmantel	Regenmäntel
Regenschauer	Regenschauer
Regenschirm	Regenschirme
Regent	Regenten
Regenwald	Regenwälder
Reggae	—
Regierungsbezirk	Regierungsbezirke
Regierungschef	Regierungschefs
Regierungskreis	Regierungskreise
Regierungsrat	Regierungsräte
Regierungssitz	Regierungssitze
Regierungssprecher	Regierungssprecher
Regierungsvertreter	Regierungsvertreter
Regierungswechsel	Regierungswechsel
Regimegegner	Regimegegner
Regimekritiker	Regimekritiker
Regionalligist	Regionalligisten
Regionalverband	Regionalverbände
Regionalverkehr	Regionalverkehre
Regionalzug	Regionalzüge
Regisseur	Regisseure
Reichskanzler	Reichskanzler
Reichstag	Reichstage
Reichtum	Reichtümer
Reifen	Reifen
Reigen	Reigen
Reimer	Reimer
Reingewinn	Reingewinne
Reisebericht	Reiseberichte
Reisebus	Reisebusse
Reiseleiter	Reiseleiter
Reisende	Reisenden
Reisepass	Reisepässe
Reiseveranstalter	Reiseveranstalter
Reiseverkehr	—
Reiz	Reize
Rekord	Rekorde
Rekordhalter	Rekordhalter
Rekordmeister	Rekordmeister
Rekrut	Rekruten
Rektor	Rektoren
Rekurs	Rekurse
Religionslehrer	Religionslehrer
Religionsunterricht	—
Renner	Renner
Rennfahrer	Rennfahrer
Rennsport	—
Rennstall	Rennställe
Renntag	Renntage
Rennwagen	Rennwagen	Rennwägen
Rentenanspruch	Rentenansprüche
Rentenbeitrag	Rentenbeiträge
Rentenmarkt	Rentenmärkte
Rentner	Rentner
Rep	Reps
Report	Reporte
Reporter	Reporter
Repräsentant	Repräsentanten
Republikaner	Republikaner
Reservist	Reservisten
Resolutionsentwurf	Resolutionsentwürfe
Respekt	—
Ressortchef	Ressortchefs
Rest	Reste
Restaurator	Restauratoren
Retter	Retter
Rettungsdienst	Rettungsdienste
Rettungshubschrauber	Rettungshubschrauber
Rettungsversuch	Rettungsversuche
Rettungswagen	Rettungswagen	Rettungswägen
Revisor	Revisoren
Revolver	Revolver
Rezensent	Rezensenten
Rezeptor	Rezeptoren
Rhein	—
Rheingau	—
Rhythmus	Rhythmen
Richter	Richter
Richterspruch	Richtersprüche
Richtwert	Richtwerte
Riegel	Riegel
Riemer	Riemer
Riese	Riesen
Riesenerfolg	Riesenerfolge
Riesenslalom	Riesenslaloms
Riesenspaß	Riesenspäße
Riesentorlauf	Riesentorläufe
Riesling	Rieslinge
Rinderwahn	—
Rinderwahnsinn	—
Ring	Ringe
Ringer	Ringer
Risikofaktor	Risikofaktoren
Riss	Risse
Rist	Riste
Ritt	Ritte
Ritter	Ritter
Ritus	Riten
Ritz	Ritze
Rivale	Rivalen
Roadster	Roadster
Robinson	Robinsons
Roboter	Roboter
Rock	Röcke
Rocker	Rocker
Rockmusiker	Rockmusiker
Rockstar	Rockstare
Rodler	Rodler
Rogner	Rogner
Rohbau	Rohbauten
Rohstoff	Rohstoffe
Rohstoffpreis	Rohstoffpreise
Roller	Roller
Rollstuhl	Rollstühle
Rollstuhlfahrer	Rollstuhlfahrer
Roman	Romane
Romancier	Romanciers
Romane	Romanen
Romantiker	Romantiker
Romeo	Romeos
Rosengarten	Rosengärten
Rosenkranz	Rosenkränze
Rosenmontag	Rosenmontage
Rotstift	Rotstifte
Rottweiler	Rottweiler
Rotwein	Rotweine
Routinier	Routiniers
Rowdy	Rowdys
Rubel	Rubel
Rubin	Rubine
Ruch	—
Ruck	Rucke
Rucksack	Rucksäcke
Ruderer	Ruderer
Rudolph	Rudolphs
Ruf	Rufe
Rufer	Rufer
Ruhestand	Ruhestanden
Ruhetag	Ruhetage
Ruhm	Ruhme
Ruin	—
Rum	Rums	Rume
